Date,Open,High,Low,Close,Adj Close,Volume
27/1/17,169.210007,169.800003,167.009995,167.699997,156.406982,4883200
30/1/17,165.919998,165.990005,163.820007,165.570007,154.420471,5456300
31/1/17,164.960007,165.100006,163.220001,163.419998,152.415222,5350700
1/2/17,164.25,165.809998,163.119995,163.970001,152.928162,3138000
2/2/17,163.220001,163.970001,160.820007,162.259995,151.333313,3791700
3/2/17,162.990005,163.559998,162.309998,162.399994,151.463882,2981700
6/2/17,162.419998,164.080002,162.380005,163.979996,152.937515,3110500
7/2/17,165,167.419998,164.869995,166.5,155.287796,4243200
8/2/17,165,165.240005,163.690002,163.809998,154.093124,3041600
9/2/17,164.669998,165.089996,164.059998,164.279999,154.535217,3451100
10/2/17,165.25,166.449997,164.470001,166.229996,156.369568,2689700
13/2/17,166.449997,169.070007,166.350006,168.029999,158.06279,3765000
14/2/17,167.699997,168.800003,167.220001,168.5,158.504913,2580300
15/2/17,168.419998,169.949997,168.350006,169.300003,159.257492,4033200
16/2/17,169.740005,170.809998,168.75,170.809998,160.677902,3070100
17/2/17,170.410004,173.25,170.399994,172.710007,162.46521,4982900
21/2/17,173.919998,176.169998,173.679993,175.559998,165.146149,4231700
22/2/17,174.979996,175.75,174.009995,175.360001,164.958008,2832100
23/2/17,175.970001,177,175.699997,176.860001,166.369003,3502600
24/2/17,176.75,178.800003,176.100006,177.440002,166.914627,4197200
27/2/17,178,179.880005,177.550003,179.429993,168.786591,2892600
28/2/17,180.339996,181.929993,179.669998,180.229996,169.539124,4785100
1/3/17,181.850006,184.800003,181.820007,183.910004,173.000824,5461800
2/3/17,184,185.710007,182.970001,182.990005,172.135437,4909000
3/3/17,182.990005,183.580002,181.449997,182.179993,171.373444,3917500
6/3/17,181.399994,182.300003,180.429993,180.929993,170.197571,4244000
7/3/17,180.639999,182.839996,180.619995,182.020004,171.222961,2452000
8/3/17,182.399994,182.690002,181.490005,181.740005,170.959564,2321700
9/3/17,181.429993,182.589996,179.580002,180.570007,169.858963,3100500
10/3/17,181.899994,181.970001,177.919998,178.699997,168.099899,4595600
13/3/17,177.160004,179.190002,177.070007,179.050003,168.429092,3499000
